[2026-04-18 21:35:37,035] [CALIBRATION] normalize=True val_keep_original_size=False train_size=(512, 512)
[2026-04-18 21:35:37,316] Train from scratch!
[2026-04-18 21:57:14,915] iter=3400/10000 lr=0.000347368 loss=0.563150
[2026-04-18 21:57:31,789] iter=3450/10000 lr=0.000344737 loss=0.426216
[2026-04-18 21:57:47,563] iter=3500/10000 lr=0.000342105 loss=0.491224
[2026-04-18 21:57:59,706] [VAL] iter=3500 aAcc=87.9917 mIoU=62.1367 mDice=73.6591 mFscore=73.6591 mPrecision=74.3790 mRecall=73.0050
[2026-04-18 21:58:00,664] [BEST] iter=3500 mIoU=62.1367 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_3500.pth
[2026-04-18 21:58:18,392] iter=3550/10000 lr=0.000339474 loss=0.350169
[2026-04-18 21:58:36,231] iter=3600/10000 lr=0.000336842 loss=0.335478
[2026-04-18 21:58:53,569] iter=3650/10000 lr=0.000334211 loss=0.254057
[2026-04-18 21:59:11,522] iter=3700/10000 lr=0.000331579 loss=0.351513
[2026-04-18 21:59:31,143] iter=3750/10000 lr=0.000328947 loss=0.428473
[2026-04-18 21:59:46,089] iter=3800/10000 lr=0.000326316 loss=0.623329
[2026-04-18 22:00:04,785] iter=3850/10000 lr=0.000323684 loss=0.389041
[2026-04-18 22:00:22,887] iter=3900/10000 lr=0.000321053 loss=0.288917
[2026-04-18 22:00:41,753] iter=3950/10000 lr=0.000318421 loss=0.391521
[2026-04-18 22:00:55,849] iter=4000/10000 lr=0.000315789 loss=0.440323
[2026-04-18 22:01:08,780] [VAL] iter=4000 aAcc=89.1607 mIoU=62.2827 mDice=73.4676 mFscore=73.4676 mPrecision=78.0434 mRecall=70.6149
[2026-04-18 22:01:09,855] [BEST] iter=4000 mIoU=62.2827 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_4000.pth
[2026-04-18 22:01:25,230] iter=4050/10000 lr=0.000313158 loss=0.747391
[2026-04-18 22:01:41,724] iter=4100/10000 lr=0.000310526 loss=0.473572
[2026-04-18 22:02:01,925] iter=4150/10000 lr=0.000307895 loss=0.697493
[2026-04-18 22:02:18,994] iter=4200/10000 lr=0.000305263 loss=0.240204
[2026-04-18 22:02:40,591] iter=4250/10000 lr=0.000302632 loss=0.323142
[2026-04-18 22:02:57,565] iter=4300/10000 lr=0.0003 loss=0.310804
[2026-04-18 22:03:15,568] iter=4350/10000 lr=0.000297368 loss=0.224624
[2026-04-18 22:03:36,355] iter=4400/10000 lr=0.000294737 loss=0.367137
[2026-04-18 22:03:54,663] iter=4450/10000 lr=0.000292105 loss=0.588590
[2026-04-18 22:04:12,528] iter=4500/10000 lr=0.000289474 loss=0.492693
[2026-04-18 22:04:24,693] [VAL] iter=4500 aAcc=87.0355 mIoU=59.9648 mDice=71.5392 mFscore=71.5392 mPrecision=72.2149 mRecall=70.9285
[2026-04-18 22:04:38,626] iter=4550/10000 lr=0.000286842 loss=0.501376
[2026-04-18 22:04:56,276] iter=4600/10000 lr=0.000284211 loss=0.397655
[2026-04-18 22:05:18,573] iter=4650/10000 lr=0.000281579 loss=0.319352
[2026-04-18 22:05:35,522] iter=4700/10000 lr=0.000278947 loss=0.473420
[2026-04-18 22:05:56,458] iter=4750/10000 lr=0.000276316 loss=0.496689
[2026-04-18 22:06:14,777] iter=4800/10000 lr=0.000273684 loss=0.262840
[2026-04-18 22:06:37,681] iter=4850/10000 lr=0.000271053 loss=0.445311
[2026-04-18 22:06:55,400] iter=4900/10000 lr=0.000268421 loss=1.010280
[2026-04-18 22:07:14,869] iter=4950/10000 lr=0.000265789 loss=0.350983
[2026-04-18 22:07:33,823] iter=5000/10000 lr=0.000263158 loss=0.555438
[2026-04-18 22:07:46,207] [VAL] iter=5000 aAcc=89.4022 mIoU=62.5495 mDice=73.6868 mFscore=73.6868 mPrecision=78.9761 mRecall=70.5479
[2026-04-18 22:07:47,277] [BEST] iter=5000 mIoU=62.5495 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_5000.pth
[2026-04-18 22:08:04,208] iter=5050/10000 lr=0.000260526 loss=0.210086
[2026-04-18 22:08:20,034] iter=5100/10000 lr=0.000257895 loss=0.291419
[2026-04-18 22:08:38,266] iter=5150/10000 lr=0.000255263 loss=0.383382
[2026-04-18 22:08:56,175] iter=5200/10000 lr=0.000252632 loss=0.481334
[2026-04-18 22:09:12,495] iter=5250/10000 lr=0.00025 loss=0.576274
[2026-04-18 22:09:29,259] iter=5300/10000 lr=0.000247368 loss=1.263128
[2026-04-18 22:09:48,110] iter=5350/10000 lr=0.000244737 loss=0.288130
[2026-04-18 22:10:06,338] iter=5400/10000 lr=0.000242105 loss=0.441016
[2026-04-18 22:10:26,574] iter=5450/10000 lr=0.000239474 loss=0.446421
[2026-04-18 22:10:47,173] iter=5500/10000 lr=0.000236842 loss=0.272335
[2026-04-18 22:10:59,055] [VAL] iter=5500 aAcc=90.8114 mIoU=66.2429 mDice=77.1543 mFscore=77.1543 mPrecision=83.2513 mRecall=73.4971
[2026-04-18 22:11:00,013] [BEST] iter=5500 mIoU=66.2429 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_5500.pth
[2026-04-18 22:11:13,748] iter=5550/10000 lr=0.000234211 loss=0.207284
[2026-04-18 22:11:32,028] iter=5600/10000 lr=0.000231579 loss=0.242770
[2026-04-18 22:11:49,914] iter=5650/10000 lr=0.000228947 loss=0.332152
[2026-04-18 22:12:09,321] iter=5700/10000 lr=0.000226316 loss=0.407158
[2026-04-18 22:12:25,854] iter=5750/10000 lr=0.000223684 loss=0.223308
[2026-04-18 22:12:44,943] iter=5800/10000 lr=0.000221053 loss=0.424386
[2026-04-18 22:13:02,710] iter=5850/10000 lr=0.000218421 loss=0.168111
