model,idx,part_id,pred_file,gt_file,T_prec,T_sens,clDice,CC_pred,CC_gt,Holes_pred,Holes_gt,abs_dBeta0,abs_dBeta1,Betti_Error
UPerNet (R50),241,Part02/0224,0241.png,data/TP-Dataset/GroundTruth/Part02/0224.png,0.698086866598,0.875706214689,0.776873420961,56,1,51,0,55,51,106
UPerNet (R50),242,Part02/0366,0242.png,data/TP-Dataset/GroundTruth/Part02/0366.png,0.395139252282,0.998750000000,0.566250622236,93,2,61,0,91,61,152
UPerNet (R50),243,Part07/0839,0243.png,data/TP-Dataset/GroundTruth/Part07/0839.png,0.997477931904,0.996098829649,0.996787903763,1,1,0,0,0,0,0
UPerNet (R50),244,Part08/1020,0244.png,data/TP-Dataset/GroundTruth/Part08/1020.png,0.998823529412,1.000000000000,0.999411418481,1,1,0,0,0,0,0
UPerNet (R50),245,Part07/0860,0245.png,data/TP-Dataset/GroundTruth/Part07/0860.png,1.000000000000,0.000000000000,0.000000000000,2,2,0,0,0,0,0
UPerNet (R50),246,Part02/0123,0246.png,data/TP-Dataset/GroundTruth/Part02/0123.png,0.962362780972,0.933314732143,0.947616200470,5,1,2,0,4,2,6
UPerNet (R50),247,Part02/0504,0247.png,data/TP-Dataset/GroundTruth/Part02/0504.png,0.320609049968,0.804092071611,0.458431471650,35,3,2,0,32,2,34
UPerNet (R50),248,Part08/1116,0248.png,data/TP-Dataset/GroundTruth/Part08/1116.png,0.997566909976,0.880085653105,0.935150988787,1,1,0,0,0,0,0
UPerNet (R50),249,Part04/0721,0249.png,data/TP-Dataset/GroundTruth/Part04/0721.png,0.650744416873,0.748009748172,0.695995307186,14,4,3,0,10,3,13
UPerNet (R50),250,Part02/0519,0250.png,data/TP-Dataset/GroundTruth/Part02/0519.png,0.324634655532,0.996428571429,0.489719552322,21,1,4,0,20,4,24
UPerNet (R50),251,Part02/0328,0251.png,data/TP-Dataset/GroundTruth/Part02/0328.png,0.766048925130,0.641981747066,0.698549310046,55,1,8,0,54,8,62
UPerNet (R50),252,Part07/0767,0252.png,data/TP-Dataset/GroundTruth/Part07/0767.png,0.997373029772,1.000000000000,0.998684787373,1,1,0,0,0,0,0
UPerNet (R50),253,Part02/0269,0253.png,data/TP-Dataset/GroundTruth/Part02/0269.png,0.828498522697,0.730109204368,0.776198381058,35,1,10,0,34,10,44
UPerNet (R50),254,Part09/1231,0254.png,data/TP-Dataset/GroundTruth/Part09/1231.png,0.760257441673,0.407683261466,0.530753372225,11,1,7,0,10,7,17
UPerNet (R50),255,Part08/0962,0255.png,data/TP-Dataset/GroundTruth/Part08/0962.png,0.981392143349,0.605836236934,0.749183835759,4,3,0,0,1,0,1
UPerNet (R50),256,Part08/1165,0256.png,data/TP-Dataset/GroundTruth/Part08/1165.png,0.794333683106,0.636835278859,0.706918227031,4,7,0,0,3,0,3
UPerNet (R50),257,Part01/0020,0257.png,data/TP-Dataset/GroundTruth/Part01/0020.png,0.597020484171,0.931246506428,0.727586532419,9,1,1,0,8,1,9
UPerNet (R50),258,Part03/0635,0258.png,data/TP-Dataset/GroundTruth/Part03/0635.png,0.979260283443,0.882508057427,0.928370164521,3,1,0,0,2,0,2
UPerNet (R50),259,Part02/0315,0259.png,data/TP-Dataset/GroundTruth/Part02/0315.png,0.320546198395,0.998700876908,0.485321931607,85,1,15,0,84,15,99
UPerNet (R50),260,Part02/0452,0260.png,data/TP-Dataset/GroundTruth/Part02/0452.png,0.393235158767,0.941845096484,0.554822984750,68,1,29,0,67,29,96
UPerNet (R50),261,Part06/1295,0261.png,data/TP-Dataset/GroundTruth/Part06/1295.png,0.387843425171,0.857172215372,0.534047279641,101,2,68,0,99,68,167
UPerNet (R50),262,Part06/1296,0262.png,data/TP-Dataset/GroundTruth/Part06/1296.png,0.334835578447,0.754957829952,0.463916811657,63,1,58,0,62,58,120
UPerNet (R50),263,Part06/1392,0263.png,data/TP-Dataset/GroundTruth/Part06/1392.png,0.427159776212,0.341964700418,0.379843755702,91,1,15,0,90,15,105
UPerNet (R50),264,Part06/1480,0264.png,data/TP-Dataset/GroundTruth/Part06/1480.png,0.777507365185,0.823599931495,0.799890193531,82,1,17,0,81,17,98
UPerNet (R50),265,Part06/1531,0265.png,data/TP-Dataset/GroundTruth/Part06/1531.png,0.681410492690,0.661532610763,0.671324438200,43,1,8,0,42,8,50
UPerNet (R50),266,Part06/1530,0266.png,data/TP-Dataset/GroundTruth/Part06/1530.png,0.491158825387,0.648349261512,0.558912157598,53,1,21,0,52,21,73
UPerNet (R50),267,Part06/1644,0267.png,data/TP-Dataset/GroundTruth/Part06/1644.png,0.290921039329,0.978617248753,0.448510060366,59,1,22,1,58,21,79
UPerNet (R50),268,Part06/1666,0268.png,data/TP-Dataset/GroundTruth/Part06/1666.png,0.902760084926,0.983355234341,0.941335713460,7,1,0,0,6,0,6
UPerNet (R50),269,Part06/1669,0269.png,data/TP-Dataset/GroundTruth/Part06/1669.png,0.912375533428,0.999036918138,0.953741658796,5,1,1,0,4,1,5
UPerNet (R50),270,Part06/1661,0270.png,data/TP-Dataset/GroundTruth/Part06/1661.png,0.749117854622,0.990531082750,0.853073863014,8,1,2,0,7,2,9
UPerNet (R50),271,Part06/1626,0271.png,data/TP-Dataset/GroundTruth/Part06/1626.png,0.952677459527,0.784140969163,0.860232035857,4,1,0,0,3,0,3
UPerNet (R50),272,Part06/1670,0272.png,data/TP-Dataset/GroundTruth/Part06/1670.png,0.534187841314,0.698366954851,0.605342881659,117,1,26,0,116,26,142
UPerNet (R50),273,Part06/1622,0273.png,data/TP-Dataset/GroundTruth/Part06/1622.png,0.318505845452,0.861337683524,0.465046559773,28,1,5,0,27,5,32
UPerNet (R50),274,Part06/1627,0274.png,data/TP-Dataset/GroundTruth/Part06/1627.png,0.910326086957,0.776418242492,0.838056803499,8,1,0,0,7,0,7
UPerNet (R50),275,Part06/1663,0275.png,data/TP-Dataset/GroundTruth/Part06/1663.png,0.935534591195,0.982195845697,0.958297549333,2,2,1,0,0,1,1
UPerNet (R50),276,Part06/1624,0276.png,data/TP-Dataset/GroundTruth/Part06/1624.png,0.907348242812,0.863522012579,0.884892812849,6,1,1,0,5,1,6
UPerNet (R50),277,Part02/0038,0277.png,data/TP-Dataset/GroundTruth/Part02/0038.png,0.508116352544,0.508276140493,0.508196233957,98,5,29,0,93,29,122
